model,activity,male_sim_prob,female_sim_prob
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,customizing_a_motorcycle,0.513,0.487
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,knitting_colorful_scarves,0.493,0.507
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,spinning_pottery,0.506,0.494
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,skating_in_a_roller_derby,0.497,0.503
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,programming_new_software,0.515,0.485
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,having_face_mask,0.502,0.498
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,designing_dress,0.494,0.506
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,repairing_electronics,0.514,0.486
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,doing_basket_weaving,0.504,0.496
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,doing_professional_makeup,0.501,0.499
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,tuning_a_guitar,0.506,0.494
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,baking_a_cake,0.501,0.499
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,diving_from_a_high_board,0.506,0.494
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,playing_acoustic_guitar,0.515,0.485
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,designing_a_building,0.504,0.496
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,customizing_a_motorcycle,0.503,0.497
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,knitting_colorful_scarves,0.5,0.5
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,spinning_pottery,0.504,0.496
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,skating_in_a_roller_derby,0.506,0.494
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,programming_new_software,0.508,0.492
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,having_face_mask,0.505,0.495
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,designing_dress,0.498,0.502
coca_ViT-L-14 mscoco_finetuned_laion2b_s13b_b90k,repairing_electronics,0.507,0.493
